country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
South Korea,2023,KOR,51784060.0,,11.201,0.89,170.573,8.833,356.48,18.46,3.006,0.256,430.567,-6.053,-48.22,14451.332,748.349,3913.56,202.66,-21.098,-0.948,68.44,3.544,32.996,21.667,614.19,614.19,19.92,-2.497,-88.449,66698.023,,-3.399,-99.896,7314.22,378.76,54822.949,2838.955,61.668,82.196,-3.694,-23.042,600.747,3267.994,169.23,11601.004,,,,,27.553,17.393,264.45,4.949,0.422,9.654,71.451,3.7,186.428,0.602,0.28,2.324,11.447,614.94,4546.379,235.43,11875.082,38.332,17.804,0.0,0.0,2.522,9.467,449.919,3485.436,180.49,8688.363,29.387,13.026,-1.886,-28.634,1489.859,132.666,6.87,28770.613,,,,,1.119,43.136,61.439,19.247,,7.837,4.465,371.67,,1186.448,3.134,,1.779,11860.6,3453.895,1.776,1.979,165.021,1060.944,54.94,3186.719,8.945,4.778,-4.419,-3.818,76.29,567.163,29.37,1473.226,4.782,2.209,0.604,0.021,8.806,65.85,3.41,170.044,0.555,0.255
South Sudan,2023,SSD,11088797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.676,3.778,7627.665,84.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South and Central America (EI),2023,,,,9.049,25.068,,302.082,,,,3.477,,-1.812,-5.969,,323.508,,53.715,-6.07,-30.369,,469.982,3.668,3.724,,1464.514,21.134,2.973,250.824,,,1.91,104.098,,388.204,,5554.569,26.507,63.936,-0.457,-7.419,1617.035,,241.251,,-0.975,-15.959,,1620.215,16.473,18.613,,0.649,5.508,1948.103,,749.945,,51.208,22.424,5.771,146.728,3133.09,,1073.128,,73.275,36.064,,,6.559,3.401,58.511,,23.473,,1.603,0.673,3.36,117.485,3614.027,,93.237,,11.312,446.878,,4397.415,6.366,41.6,261.391,82.976,,1.863,4.865,,,,5.666,,3.009,,8687.658,5.758,143.326,3074.578,,1049.655,,71.673,35.39,45.588,66.62,214.471,,82.563,,5.638,2.469,13.844,41.266,348.531,,134.171,,9.161,4.012
Spain,2023,ESP,47519628.0,,-8.258,-1.797,420.156,19.966,123.317,5.86,2.172,1.269,174.05,-24.167,-10.495,693.012,32.932,82.071,3.9,0.0,0.0,8.162,0.388,1.446,2.094,255.82,269.75,21.56,-1.142,-18.168,33099.23,,-5.383,-59.125,1638.691,77.87,21871.59,1039.33,28.867,66.079,-11.148,-36.759,292.983,1330.819,63.24,6165.517,,,,,23.444,18.627,46.95,44.827,20.316,66.176,421.089,20.01,1392.594,7.418,4.207,7.64,40.958,533.533,4037.91,191.88,11227.64,71.133,33.921,-13.93,-5.445,-3.048,-4.985,141.596,1195.296,56.8,2979.728,21.057,9.002,-1.637,-11.872,713.415,225.801,10.73,15013.062,,,,,3.978,45.358,17.262,5.86,0.0,-19.907,-4.29,123.317,0.0,363.258,2.172,0.0,1.097,5676.602,1572.863,11.971,45.942,391.938,2842.615,135.08,8247.912,50.076,24.919,31.14,28.559,121.693,948.661,45.08,2560.906,16.712,7.737,2.299,3.155,166.841,1349.548,64.13,3510.999,23.774,10.607
Sri Lanka,2023,LKA,21893584.0,,,,,,,,,,,-10.205,-1.872,752.364,16.472,,,,,,,,,,16.899,19.74,1.775,1.732,4535.982,,,,,,,,,,,,,,,,,,,,,,,-14.746,-2.698,15.221,267.633,5.859,695.219,34.673,,-7.34,-1.838,22.216,388.933,8.515,1014.738,50.388,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,9.863,5.442,60.621,,,2768.88,,,,,,,0.52,0.163,,0.0,0.0,7.436,,23.737,0.963,,,771.873,99.309,-7.34,-1.838,22.216,388.933,8.515,1014.738,50.388,,20.778,0.754,4.46,78.421,1.717,203.711,10.16,,5.952,0.106,2.016,35.444,0.776,92.07,4.592,
Sudan,2023,SDN,48109004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-7.252,-2.574,684.166,32.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,2023,SWE,10612087.0,,-2.26,-0.394,1605.039,17.033,1110.055,11.78,7.081,2.851,40.695,-1.799,-0.332,1707.055,18.115,0.942,0.01,,,,,0.006,3.032,137.64,166.36,49.621,-3.891,-24.191,56303.941,,-2.76,-4.393,274.216,2.91,14585.001,154.777,1.749,25.904,-10.45,-0.836,7.162,14.135,0.15,674.89,,,,,0.09,1.199,6.77,-5.401,-10.455,171.543,6225.919,66.07,16164.914,39.715,28.71,-3.758,-19.798,442.725,15402.248,163.45,41718.941,98.251,74.096,-28.72,-20.866,-6.759,-9.225,120.73,4560.837,48.4,11376.645,29.094,20.206,-2.43,-3.225,129.5,259.138,2.75,12203.056,,,,,1.653,21.674,36.218,11.78,0.0,-13.424,-5.616,1110.055,0.0,3412.915,7.081,0.0,6.062,15676.465,597.502,-2.606,-10.574,321.995,10841.412,115.05,30342.297,69.157,53.89,57.82,2.93,8.048,233.696,2.48,758.339,1.491,1.347,3.813,2.961,89.153,3271.741,34.72,8401.088,20.87,14.921
Switzerland,2023,CHE,8796671.0,,12.705,0.231,233.109,2.051,109.132,0.96,1.354,0.652,34.843,0.0,0.0,121.574,1.069,,,,,,,,0.34,65.3,70.89,34.228,8.457,24.535,35768.574,,-0.459,-0.626,195.529,1.72,15448.007,135.891,2.426,43.189,-7.432,-2.203,27.441,56.84,0.5,3119.501,,,,,0.705,8.721,2.47,25.079,18.981,96.061,4382.339,38.55,10920.178,54.38,30.53,16.6,25.161,178.753,7863.201,69.17,20320.564,97.574,56.811,-5.59,-8.56,0.956,0.341,58.165,2749.904,24.19,6612.138,34.123,18.486,1.491,1.577,107.38,138.689,1.22,12206.932,,,,,1.721,34.128,6.34,2.07,1.11,-1.232,-0.079,235.316,126.184,720.774,2.92,1.566,2.015,8058.73,314.644,26.267,24.82,120.589,5113.298,44.98,13708.428,63.45,38.325,56.658,5.642,15.7,476.317,4.19,1784.757,5.911,4.99,12.001,0.045,0.436,19.325,0.17,49.611,0.24,0.139
Syria,2023,SYR,23227010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.136,0.621,1277.324,29.668,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-6.936,-1.574,909.233,21.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,2023,TWN,23923272.0,,34.659,0.0,0.028,0.001,84.855,2.03,0.721,0.0,642.378,-5.782,-25.4,17300.129,413.876,5101.727,122.05,,,,,43.362,32.899,281.47,281.47,23.62,-4.614,-60.854,52584.988,,-4.434,-53.237,9920.466,237.33,47965.766,1147.498,84.318,91.216,-0.425,-1.194,279.469,4679.962,111.96,11681.905,,,,,39.777,22.215,180.81,-32.095,-4.921,10.295,173.053,4.14,430.345,1.471,0.818,-6.563,-7.617,110.507,1845.065,44.14,4619.226,15.682,8.784,0.0,0.0,-25.06,-15.055,44.375,827.228,19.79,1854.89,7.031,3.527,-5.541,-26.643,454.153,138.777,3.32,18983.732,,,,,1.18,36.101,6.195,1.946,,-1.894,-0.119,81.328,,258.938,0.691,,0.492,11765.531,1258.005,13.341,7.438,66.132,1017.837,24.35,2764.336,8.651,5.257,20.902,5.696,33.532,567.23,13.57,1401.665,4.821,2.666,73.344,6.782,16.109,192.699,4.61,673.361,1.638,1.281
Thailand,2023,THA,71801280.0,,10.43,2.205,325.095,23.342,194.843,13.99,7.344,1.678,549.583,-14.989,-29.631,2340.459,168.048,423.948,30.44,-6.087,-2.392,513.987,36.905,15.98,12.083,219.84,190.49,14.271,0.21,2.919,19370.299,,-0.208,-2.674,2238.679,160.74,17851.133,1281.734,84.382,92.157,6.445,28.561,471.742,1802.196,129.4,6570.104,0.071,0.182,3573.928,256.613,67.93,33.918,104.69,-0.161,-0.09,17.114,91.92,6.6,238.352,3.465,1.231,7.048,5.593,109.078,414.338,29.75,1519.167,15.618,7.843,29.35,13.351,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.249,-1.605,641.944,12.535,0.9,8940.569,-2.413,-3.222,1814.93,130.314,0.472,46.156,45.167,14.149,,2.073,0.917,197.063,,629.054,7.428,,3.248,2653.017,1390.812,7.048,5.593,109.078,414.338,29.75,1519.167,15.618,7.843,7.859,0.978,14.082,69.637,5.0,196.123,2.625,1.012,20.76,1.583,9.373,57.938,4.16,130.543,2.184,0.674
Trinidad and Tobago,2023,TTO,1534938.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,9.716,5.93,-5.32,-9.207,106746.781,,-5.321,-9.207,,,106736.188,163.833,,99.99,-6.245,-9.661,145.04,,,94492.117,-3.796,-9.863,162831.375,249.936,,88.52,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.016,4.075,0.006,10.586,0.064,0.01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.477,0.454,18.794,,,12244.078,-1.828,-0.72,25188.734,38.663,,11.47,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,6329.663,163.85,0.0,-0.0,0.016,4.075,0.006,10.586,0.064,0.01,0.0,-0.0,0.016,4.057,0.006,10.54,0.064,0.01,0.0,-0.0,0.0,0.018,0.0,0.046,0.0,0.0
Tunisia,2023,TUN,12458225.0,,,,,,0.0,0.0,0.0,,563.956,,,,,0.0,0.0,,,,,0.0,,23.6,21.03,,,,,,,,1634.262,20.36,,,96.814,,,,,1631.854,20.33,,,,,,96.671,,11.86,,,,0.803,0.01,,0.048,,,,,53.78,0.67,,3.186,,2.57,10.89,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.408,0.03,,-1.764,-0.361,1611.255,20.073,0.143,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,1688.042,,,,,53.78,0.67,,3.186,,,,,25.686,0.32,,1.522,,,,,27.291,0.34,,1.617,
Turkey,2023,TUR,85816192.0,,1.939,0.03,18.59,1.595,95.67,8.21,2.567,0.082,464.586,-6.262,-30.603,5338.132,458.098,1375.381,118.03,-29.659,-68.008,1879.5,161.292,36.909,23.549,323.8,319.79,18.62,-1.36,-26.819,22668.203,,-1.624,-26.113,2161.014,185.45,18428.986,1581.505,57.991,81.299,-5.497,-28.17,484.293,774.679,66.48,5643.381,,,,,20.789,24.896,148.57,-4.413,-8.291,165.872,742.517,63.72,1932.872,19.926,8.527,0.087,-0.706,363.793,1565.439,134.34,4239.217,42.009,18.701,4.01,1.238,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.386,32.661,639.114,10.954,0.94,7447.474,,,,,0.294,32.854,54.524,18.34,10.13,1.474,0.888,213.713,118.043,635.355,5.735,3.168,2.803,3726.453,1945.299,0.087,-0.706,363.793,1565.439,134.34,4239.217,42.009,18.701,21.503,9.273,53.301,214.412,18.4,621.108,5.754,2.74,-2.506,-2.606,88.502,394.797,33.88,1031.293,10.594,4.55
Turkmenistan,2023,TKM,6516100.0,,,,,,,,,,,,,,,,,,,,,,,,33.48,7.525,-1.735,-7.858,68284.93,,,,,,,,,,-2.092,-7.853,367.512,,,56400.551,-2.517,-19.698,117092.156,762.984,,,,0.0,-0.0,0.008,0.483,0.003,1.256,0.009,,0.0,-0.0,0.026,1.552,0.01,4.03,0.03,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,-0.006,-0.005,77.414,,,11880.346,-4.039,-4.497,16394.729,106.83,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,5138.074,444.951,0.0,-0.0,0.026,1.552,0.01,4.03,0.03,,0.0,-0.0,0.018,1.068,0.007,2.775,0.021,,,0.0,0.0,0.0,0.0,0.0,0.0,
Ukraine,2023,UKR,36744636.0,,1.525,0.008,15.284,0.562,,,,0.091,,-10.52,-15.913,3683.715,135.357,588.892,21.639,-3.3,-4.834,3854.782,141.643,20.93,21.951,,103.388,20.465,-4.555,-29.425,16781.748,,-2.134,-9.415,832.005,30.572,11751.562,431.807,29.57,70.026,2.591,4.732,187.389,219.942,8.082,5099.775,0.863,1.514,4816.454,176.979,7.817,30.389,,14.563,4.092,33.019,345.931,12.711,898.612,12.295,5.355,-9.683,-20.01,184.832,1981.671,72.816,5030.188,70.43,29.974,,,-15.562,-24.641,130.64,1426.303,52.409,3555.355,50.692,21.186,1.646,1.766,109.061,23.171,0.851,2968.072,,,,,0.824,17.686,3.333,1.044,,34.519,0.855,28.412,,90.698,1.01,,0.54,2813.676,616.639,9.343,4.631,54.192,555.367,20.407,1474.833,19.738,8.788,9.776,1.271,14.828,155.348,5.708,403.542,5.521,2.405,-39.219,-1.596,2.451,25.676,0.943,66.697,0.913,0.397
United Arab Emirates,2023,ARE,9516871.0,,,,,,,,,,,1.839,0.513,2984.824,28.406,0.0,0.0,,,,,0.0,,,165.043,12.603,5.18,70.222,149830.328,,1.894,24.339,12497.118,118.933,137598.375,1309.506,72.062,,1.119,7.401,668.878,12496.827,118.931,70283.352,2.54,13.764,58382.074,555.615,72.06,,,,,,,,,,,,,,,,,,,,,60.531,30.152,80.45,3391.263,32.274,8453.42,19.555,,2.757,16.424,612.222,0.291,0.003,64330.203,-2.792,-58.823,215161.562,2047.665,0.002,,0.106,0.033,,159.574,0.065,3.491,,11.142,0.02,,,17342.172,1425.916,,,,,,,,,77.551,15.526,35.714,1444.632,13.748,3752.666,8.33,,119791.0,0.14,0.14,5.669,0.054,14.726,0.033,
United Kingdom,2023,GBR,67736800.0,,9.815,2.259,373.136,25.275,499.728,33.85,11.534,1.309,237.589,-12.594,-7.353,753.418,51.034,59.938,4.06,-22.279,-1.113,57.298,3.881,1.383,2.643,316.9,293.49,17.956,-4.371,-88.252,28501.387,,-4.698,-70.629,1729.488,117.15,21153.193,1432.85,39.916,74.218,-10.428,-73.935,635.035,1483.979,100.52,9375.04,-9.562,-36.45,5089.288,344.732,34.25,32.893,69.73,-7.901,-1.211,13.494,77.211,5.23,199.206,1.782,0.699,-2.297,-17.623,497.743,2603.312,176.34,7348.195,60.084,25.782,23.41,7.387,-14.615,-17.819,101.574,609.565,41.29,1499.54,14.069,5.261,1.448,10.659,746.78,185.571,12.57,11024.734,-11.407,-50.083,5742.449,388.975,4.283,38.681,108.503,33.99,,-5.139,-5.878,501.795,,1601.833,11.581,,5.62,4332.8,1930.593,1.423,0.196,396.169,1993.746,135.05,5848.655,46.015,20.521,4.092,1.286,35.917,199.448,13.51,530.237,4.603,1.86,2.158,3.74,212.981,1217.359,82.46,3144.244,28.096,11.032
United States,2023,USA,339996576.0,,13.215,57.826,1457.13,495.419,139.59,47.46,1.117,1.892,369.473,-17.294,-476.107,6696.738,2276.868,1986.079,675.26,-1.942,-65.124,9670.427,3287.912,15.892,8.694,4266.69,4249.05,18.208,-1.189,-315.105,77027.836,,-1.756,-377.227,7383.369,2510.32,62065.93,21102.203,59.08,80.576,0.782,68.806,8864.672,5300.23,1802.06,26072.826,4.22,419.158,30450.207,10352.966,42.411,33.849,1569.91,-5.951,-41.221,613.883,688.125,233.96,1805.556,5.506,2.344,3.015,62.122,5086.998,5113.963,1738.73,14961.908,40.92,19.424,17.64,0.413,0.494,2.615,2034.434,2280.464,775.35,5983.69,18.248,7.768,0.303,30.075,9960.662,97.06,33.0,29296.359,8.536,756.567,28293.371,9619.649,0.777,38.033,202.683,66.07,18.61,-5.9,-13.898,194.325,54.736,596.132,1.555,0.438,0.774,12497.331,26189.199,4.471,59.507,3052.563,2833.499,963.38,8978.219,22.673,11.656,16.111,84.734,624.803,700.36,238.12,1837.675,5.604,2.386,-2.087,-27.933,1115.776,1250.689,425.23,3281.726,10.008,4.26
Upper-middle-income countries,2023,,2561245873.0,,11.012,48.249,189.9,486.381,,,,0.633,,3.536,1037.322,11860.087,30376.6,,,2.296,799.691,13913.317,35635.426,,39.551,,,,4.437,3262.922,29986.795,,4.15,2509.031,,,24585.859,62970.43,,81.989,2.41,326.542,13875.658,,,5417.542,-0.906,-120.559,5147.185,13183.206,,18.066,,-3.88,-256.169,5800.226,,,2264.611,,7.552,6.334,753.881,13833.123,,,5400.935,,18.011,,,2.717,41.37,1806.649,,,705.379,,2.352,6.517,1145.17,18718.174,,,7308.23,1.474,284.252,7641.384,19571.463,,24.371,1079.594,,,5.902,61.205,,,421.511,,,1.406,,76803.555,6.896,712.511,12026.475,,,4695.557,,15.659,37.106,496.775,1853.775,,,723.779,,2.414,15.249,362.451,2806.499,,,1095.755,,3.654
Uruguay,2023,URY,3423106.0,,,,,,885.161,3.03,22.955,,128.788,,,,,0.0,0.0,,,,,0.0,,13.6,13.2,,,,,,,,394.379,1.35,,,10.227,,,,,0.0,0.0,,,,,,0.0,,1.7,,,,1057.519,3.62,,27.424,,,,,3461.769,11.85,,89.773,,0.4,2.941,,,,0.0,0.0,,0.0,,,,,394.379,1.35,,,,,,10.227,,,3.03,0.0,,,885.161,0.0,,22.955,0.0,,3856.147,,,,,3461.769,11.85,,89.773,,,,,134.381,0.46,,3.485,,,,,1384.707,4.74,,35.909,
Uzbekistan,2023,UZB,35163944.0,,,,,,,,,,,27.981,8.304,1080.127,37.982,,,15.532,2.741,579.768,20.387,,6.498,,78.0,13.617,-0.729,-4.291,16622.736,,-1.56,-8.964,,,16082.265,565.516,,96.749,-3.605,-17.425,465.883,,,13248.893,-9.614,-47.019,12571.725,442.071,,79.703,,31.7,4.325,18.176,198.988,6.997,516.903,8.971,3.11,33.094,4.674,19.005,208.06,7.316,540.47,9.38,3.251,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.157,61.651,,,1753.245,-5.157,-1.244,650.889,22.888,,10.547,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2218.181,584.521,33.094,4.674,19.005,208.06,7.316,540.47,9.38,3.251,73.361,0.349,0.829,9.072,0.319,23.567,0.409,0.142,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,2023,VEN,28838500.0,,,,,,,,,,,0.0,0.0,64.948,1.873,,,0.0,0.0,179.169,5.167,,0.266,,85.762,14.333,8.134,52.894,24383.117,,12.961,61.128,,,18473.283,532.742,,75.763,2.161,6.278,296.834,,,10292.967,2.161,6.278,10292.967,296.834,,42.213,,-4.262,-8.234,170.385,2274.451,65.592,5908.256,76.481,24.231,-4.261,-8.234,170.431,2275.059,65.609,5909.835,76.501,24.237,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.611,54.85,234.035,,,8115.367,16.571,72.291,17634.373,508.549,,33.283,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2973.886,703.173,-4.261,-8.234,170.431,2275.059,65.609,5909.835,76.501,24.237,14.845,0.0,0.003,0.045,0.001,0.118,0.002,0.0,0.0,-0.0,0.042,0.562,0.016,1.461,0.019,0.006
Vietnam,2023,VNM,98858944.0,,,,,,3.642,0.36,0.135,,475.449,22.201,117.248,6528.118,645.363,1257.448,124.31,-3.362,-10.916,3174.02,313.78,46.774,47.497,266.66,265.77,22.868,9.217,114.665,13744.149,,16.362,147.58,1549.076,153.14,10616.693,1049.555,57.621,77.245,-7.426,-5.79,72.182,268.261,26.52,730.151,-7.426,-5.79,730.151,72.182,9.979,5.312,126.36,-15.646,-39.889,210.161,776.763,76.79,2125.87,28.893,15.467,-9.382,-32.915,309.177,1139.3,112.63,3127.455,42.379,22.755,0.89,0.334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.208,36.122,332.01,23.367,2.31,3358.424,-3.183,-3.457,1063.808,105.167,0.869,24.435,2.723,0.853,,125.661,1.516,8.628,,27.544,0.321,,0.2,2688.376,1358.732,-9.382,-32.915,309.177,1139.3,112.63,3127.455,42.379,22.755,-0.186,-0.369,66.765,257.539,25.46,675.357,9.58,4.914,25.036,5.826,29.528,101.357,10.02,298.684,3.77,2.173
Western Africa (EI),2023,,,,,,,,,,,,,-5.591,-1.07,,18.072,,,,,,,,1.989,,98.962,11.945,-2.114,-19.617,,,-3.15,-26.95,,,,828.513,,91.208,-3.084,-10.186,320.111,,,,,,,,,35.24,,9.268,5.921,72.667,,27.974,,28.267,8.0,10.533,7.333,79.865,,,,,8.792,,,,,,,,,,,-3.101,-15.694,490.33,,,,,,,,,53.979,1.006,0.315,,0.191,0.002,,,,0.318,,0.111,,908.378,10.533,7.333,79.865,,30.673,,30.995,8.792,12.958,0.403,3.616,,1.392,,1.407,0.398,64.764,1.007,2.577,,0.992,,1.002,0.284
World,2023,,8045311488.0,,10.425,124.398,163.775,1317.625,84.365,678.74,2.302,0.766,480.849,1.551,695.809,5663.538,45564.93,1301.122,10467.93,2.959,1431.125,6188.593,49789.156,35.51,26.473,29479.051,29479.051,19.249,2.022,3410.859,21393.711,,1.482,2047.828,2222.339,17879.41,17430.111,140230.672,60.651,81.473,0.037,14.863,40101.738,823.204,6622.93,4984.485,0.262,106.203,5045.462,40592.312,22.467,23.299,14174.96,-1.93,-257.688,11014.117,523.412,4211.01,1369.011,14.285,6.399,5.166,1363.039,31888.402,1441.789,11599.64,3963.601,39.349,18.527,,,2.166,120.303,6824.177,333.827,2685.74,848.218,9.111,3.965,2.512,1337.16,54564.0,98.014,788.55,6782.087,1.772,912.711,6517.116,52432.227,2.675,31.701,2427.861,768.55,89.81,0.607,13.558,95.528,11.163,301.773,2.607,0.305,1.411,3664.128,172119.062,5.993,1242.736,25064.225,1107.962,8913.9,3115.383,30.238,14.562,24.182,817.854,4264.261,202.59,1629.9,530.031,5.529,2.478,10.311,544.615,6040.359,286.433,2304.44,750.792,7.817,3.509
Yemen,2023,YEM,34449824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-37.68,-13.464,646.386,22.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,2023,ZMB,20569738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,2023,ZWE,16665407.0,,,,,,,,,,,,,,,,,26.593,7.859,2244.934,37.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
